dataset1,dataset2,feature,csi
train,validation,amountAvg,0.02015809011340109
train,test,repeatedRecipientCount,0.0201415478983817
test,validation,avgActionDuration,0.01904331727358926
train,validation,profileRawAmountPercentile10,0.017472792128108094
train,validation,profileSessionAction7CountZScore,0.017457731588343246
test,validation,amountSum,0.017359237731959857
train,validation,avgActionDuration,0.01727106620887238
train,test,profileSessionActionCountZScore,0.016990427585141694
train,test,action7Count,0.016624915853733428
test,validation,profileSessionActionCountZScore,0.015768896347523577
train,test,action8Count,0.015246113743588783
test,validation,profileSessionAction1CountZScore,0.01517934625643648
train,test,amountSum,0.014850256591484002
train,test,profileSessionAction3CountZScore,0.01475576868818237
train,test,profileAmountZScore,0.014644088659777246
test,validation,profileSessionTransactionFromSavingsCountZScore,0.014355645905427225
test,validation,amount,0.014217530660689915
train,validation,profileSessionAction9CountZScore,0.014204417580148237
train,test,action9Count,0.014003324732474804
test,validation,profileSessionAction2CountZScore,0.013933690436070945
train,validation,hour,0.013884476211783662
train,validation,profileSessionAction0CountZScore,0.012368969254333817
train,validation,profileRawAmountAvg,0.012280765467378541
train,validation,amount,0.012110788739016814
test,validation,profileAmountZScore,0.011601675470858785
test,validation,action7Count,0.011343418871192468
train,test,profileSessionTransactionFromCheckingCountZScore,0.011173654184204492
train,test,profileSessionAction4CountZScore,0.01081579086054608
train,validation,profileSessionAction1CountZScore,0.010675476204400663
train,validation,action1Count,0.010598519493860774
train,test,profileSessionAction6CountZScore,0.010301735182247779
train,validation,profileSessionAction5CountZScore,0.009766257220899154
train,validation,action5Count,0.00969146604581167
train,validation,action7Count,0.009460687631697145
train,validation,profileSessionAction4CountZScore,0.008352580038315814
train,validation,profileSessionTransactionFromSavingsCountZScore,0.008002929950374809
train,test,amountMin,0.007872052458909198
train,validation,amountSum,0.00723269590689408
train,test,amount,0.0071575523526830245
train,test,profileSessionAction0CountZScore,0.007111028698336697
train,test,profileSessionAction5CountZScore,0.00699192078514974
train,validation,recipientTransactionCount,0.00663486271126411
train,test,avgActionDuration,0.006575970073524782
train,validation,repeatedRecipientCount,0.006530237808038015
train,validation,profileSessionActionCountZScore,0.006511912912134226
train,validation,profileSessionAction6CountZScore,0.006453006283361193
train,validation,actionCount,0.006335223300805217
train,validation,secondsToTransaction,0.005762497948972102
train,test,profileSessionTransactionCountZScore,0.005715639075773724
