threshold,tp,fp,fn,tn,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr
0.12,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.13,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.14,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.15,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.16,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.17,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.18,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.19,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.2,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.21,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.22,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.23,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.24,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.25,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.26,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.27,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.28,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.29,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.3,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.31,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.32,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.33,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.34,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.35000000000000003,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.36,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.37,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.38,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.39,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.4,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.41000000000000003,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.42,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.43,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.44,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.45,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.46,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.47000000000000003,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.48,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.49,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.5,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.51,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.52,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.53,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
